ID,PARENTID,ORGTYPE,UIC,SUBUNIT,LDUIC,TITLE,PARNO,GRADE,POSCO,ERC,OFF,WO,ENL,MIL,CIV,AUTHEQP,RUNDATE
72060793789253524,72060794149340586,UN,WQEAAA,,,Headquarters and Headquarters Detachment,,,,,30,8,88,126,0,0,23-Mar-2026
72060793958881069,72060793789253524,UN,,,,Headquarters and Headquarters Company (HHC)/Engineer Brigade,,,,,30,8,88,126,0,0,23-Mar-2026
72060793958881070,72060793958881069,UN,,,,Command Group,101,,,,3,0,3,6,0,0,23-Mar-2026
72060793979034271,72060793958881070,BL,,,,Commander,101,O-6,12A00,,1,0,0,1,0,0,23-Mar-2026
72060793979034271,72060793979034271,EQ,,,,MASK SYSTEM CHEMICA,101,,M12986,A,0,0,0,0,0,1,23-Mar-2026
72060793979034271,72060793979034271,EQ,,,,"PISTOL,9MM,SEMIAUTO",101,,P05043,A,0,0,0,0,0,1,23-Mar-2026
72060793979034271,72060793979034271,EQ,,,,BAYONET MULTI SYS M9,101,,B49004,A,0,0,0,0,0,1,23-Mar-2026
72060793958881072,72060793958881070,CR,,,,1st Truck: Light Command and Control (C2) Vehicle,101,,,,0,0,1,1,0,0,23-Mar-2026
72060794020462640,72060793958881072,BL,,,,Vehicle Driver,101,E-4,88M1O,,0,0,1,1,0,0,23-Mar-2026
72060794020462640,72060794020462640,EQ,,,,CARBINE 5.56MILL M4A1,101,,C06935,A,0,0,0,0,0,1,23-Mar-2026
72060794020462640,72060794020462640,EQ,,,,MASK SYSTEM CHEMICA,101,,M12986,A,0,0,0,0,0,1,23-Mar-2026
72060794020462640,72060794020462640,EQ,,,,SIGHT BORE OPT M150,101,,S45729,A,0,0,0,0,0,1,23-Mar-2026
72060794020462640,72060794020462640,EQ,,,,BAYONET MULTI SYS M9,101,,B49004,A,0,0,0,0,0,1,23-Mar-2026
72060793958881072,72060793958881072,EQ,,,,RADIO SET AN/VRC-92F,101,,R45543,A,0,0,0,0,0,1,23-Mar-2026
72060793958881072,72060793958881072,EQ,,,,NIGHT VIS G AN/PVS-7A,101,,N05482,A,0,0,0,0,0,2,23-Mar-2026
72060793958881072,72060793958881072,EQ,,,,TR UT EX CAP: M1165A1,101,,T56383,A,0,0,0,0,0,1,23-Mar-2026
72060793958881072,72060793958881072,EQ,,,,ANT GRP OE-254()/GRC,101,,A79381,A,0,0,0,0,0,1,23-Mar-2026
72060793958881072,72060793958881072,EQ,,,,ENCRYPTION-DECRYPTI,101,,E05008,A,0,0,0,0,0,1,23-Mar-2026
72060793958881072,72060793958881072,EQ,,,,"COMPUTER SYSTEM,DIGIT",101,,C05036,A,0,0,0,0,0,1,23-Mar-2026
72060793958881072,72060793958881072,EQ,,,,SOFTWARE,101,,M05098,A,0,0,0,0,0,1,23-Mar-2026
72060793958881072,72060793958881072,EQ,,,,NA SE SA AN/PSN-13(A),101,,N96248,A,0,0,0,0,0,1,23-Mar-2026
72060793979034275,72060793958881070,BL,,,,Executive Officer (XO),101,O-5,12A00,,1,0,0,1,0,0,23-Mar-2026
72060793979034275,72060793979034275,EQ,,,,MASK SYSTEM CHEMICA,101,,M12986,A,0,0,0,0,0,1,23-Mar-2026
72060793979034275,72060793979034275,EQ,,,,"PISTOL,9MM,SEMIAUTO",101,,P05043,A,0,0,0,0,0,1,23-Mar-2026
